,详细链接,图片链接,书名,作者,评分,概述
27,https://book.douban.com/subject/6082808/,https://img3.doubanio.com/view/subject/s/public/s27237850.jpg,百年孤独,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,9.3,魔幻现实主义文学代表作
28,https://book.douban.com/subject/6518605/,https://img9.doubanio.com/view/subject/s/public/s28357056.jpg,三体全集,刘慈欣 / 重庆出版社 / 2012-1-1 / 168.00元,9.5,地球往事三部曲
29,https://book.douban.com/subject/1068920/,https://img1.doubanio.com/view/subject/s/public/s1078958.jpg,飘,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,9.3,革命时期的爱情，随风而逝
30,https://book.douban.com/subject/24531956/,https://img9.doubanio.com/view/subject/s/public/s29101586.jpg,哈利·波特,J.K.罗琳 (J.K.Rowling) / 苏农 / 人民文学出版社 / 2008-12-1 / 498.00元,9.7,从9¾站台开始的旅程
31,https://book.douban.com/subject/1019568/,https://img2.doubanio.com/view/subject/s/public/s1076932.jpg,三国演义（全二册）,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,9.3,是非成败转头空
32,https://book.douban.com/subject/27614904/,https://img2.doubanio.com/view/subject/s/public/s29651121.jpg,房思琪的初恋乐园,林奕含 / 北京联合出版公司 / 2018-2 / 45.00元,9.2,向死而生的文学绝唱
33,https://book.douban.com/subject/2035179/,https://img3.doubanio.com/view/subject/s/public/s2347590.jpg,动物农场,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,9.3,太阳底下并无新事
34,https://book.douban.com/subject/1040211/,https://img3.doubanio.com/view/subject/s/public/s1229240.jpg,福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,9.3,名侦探的代名词
35,https://book.douban.com/subject/10554308/,https://img1.doubanio.com/view/subject/s/public/s24514468.jpg,白夜行,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,9.2,一宗离奇命案牵出跨度近20年步步惊心的故事
36,https://book.douban.com/subject/1084336/,https://img2.doubanio.com/view/subject/s/public/s1103152.jpg,小王子,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,9.1,献给长成了大人的孩子们
37,https://book.douban.com/subject/1255625/,https://img9.doubanio.com/view/subject/s/public/s26018275.jpg,天龙八部,金庸 / 生活·读书·新知三联书店 / 1994-5 / 96.00元,9.2,有情皆孽，无人不冤
38,https://book.douban.com/subject/1046209/,https://img2.doubanio.com/view/subject/s/public/s1034062.jpg,安徒生童话故事集,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00元,9.2,为了争取未来的一代
39,https://book.douban.com/subject/1060068/,https://img2.doubanio.com/view/subject/s/public/s1369343.jpg,撒哈拉的故事,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,9.2,游荡的自由灵魂
40,https://book.douban.com/subject/6781808/,https://img2.doubanio.com/view/subject/s/public/s23128183.jpg,杀死一只知更鸟,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,9.2,有一种东西不能遵循从众原则，那就是——人的良心
